uri,cid,author_did,author_handle,created_at,text,link
at://did:plc:d3mqivaejm2chtqcxt5vkada/app.bsky.feed.post/3m5zntjkylk2d,bafyreiccpa2metuyls6rz3k5oeradlsika7uetqftgnfayaak2xxhkb6k4,did:plc:d3mqivaejm2chtqcxt5vkada,runningrebel.bsky.social,2025-11-20T01:52:27.454Z,"I see people misuse the term trauma bond AT LEAST once a day and as a person who has a had a legitimate trauma bond, it never fails to piss me tf off.",https://bsky.app/profile/
at://did:plc:gkl2k25dpld7uhuoke4h52mp/app.bsky.feed.post/3m5zaixwrwk26,bafyreiacbz323zjyrjmi6fxjwhce5hcnguntwd4xwdhtrvmp4g2bw7kfzq,did:plc:gkl2k25dpld7uhuoke4h52mp,naraoia.bsky.social,2025-11-19T21:53:54.779Z,"Lol, ""F"" and Smol Jedi should meet up and trauma bond some day",https://bsky.app/profile/
at://did:plc:lzuzlbmudkwy6yeirzcfuurb/app.bsky.feed.post/3m5zabcikxs2n,bafyreig7g6g67csg4droslaysxrtxav33sbotuc7tbmsr3bwpryorow4tu,did:plc:lzuzlbmudkwy6yeirzcfuurb,dmbakura.bsky.social,2025-11-19T21:49:37.408Z,vergil the king of finding other people in their worst state and forming a trauma bond with them. first wrabbit now mary LMAOO,https://bsky.app/profile/
at://did:plc:j765jihjrchorjueocxugc4v/app.bsky.feed.post/3m5yzt2xj3s2j,bafyreifwgvvjbvqn4oaasdwjp5iwheipm2a3bpfap67yheda2hgqbrd6im,did:plc:j765jihjrchorjueocxugc4v,jayjbird94.bsky.social,2025-11-19T19:54:17.300Z,"What kills me about Cherri's ""it's okay, he'll be back"" is the fact that you KNOW she has witnessed the cycle of abuse and the trauma bond merry-go-round with Angel and Val multiple times before. And has been unable to stop him before. And was still there the next time he reached out. Always.",https://bsky.app/profile/
at://did:plc:653omvkqlu3rjgicdkgj3duy/app.bsky.feed.post/3m5yobdya7227,bafyreib6xvtzntpolui44jee2vkumur447yk3d2rbezua7sfljtibkuovi,did:plc:653omvkqlu3rjgicdkgj3duy,giantenbytch.bsky.social,2025-11-19T16:27:31.621Z,"(abuse mention)

.

Mutual trauma dumping is both the most mentally destroying and mentally healing thing possible

I think a bond formed like that is like nothing else, there's so much understanding and hearing what you're already so painfully familiar with, with the most meaningful ""mhm""s possible",https://bsky.app/profile/
at://did:plc:2x3xv7aptrpghf7qquxqezsu/app.bsky.feed.post/3m5ylppujkk2o,bafyreice2zd53ua2fn3umkvlcrw45ig6ag43xebbiz7vycidtnr677wpgu,did:plc:2x3xv7aptrpghf7qquxqezsu,mrblkhwq.bsky.social,2025-11-19T15:41:52.619Z,"I trauma bond with my sons through rough sex.

Sometimes I have to smack the stupid out of you and fuck the bitch out of you. 

You are welcome.",https://bsky.app/profile/
at://did:plc:erecice6fxtvnna7ithvhj4g/app.bsky.feed.post/3m624uutykc22,bafyreigrzjye27zjrvrceatc3rlnxnqi5tzrjp7rzyl2hhvv26h5zljdba,did:plc:erecice6fxtvnna7ithvhj4g,esther703.bsky.social,2025-11-20T06:21:38.966Z,"You can call it a hoax, a distraction, or whatever today’s script demands—but public opinion is already unconvinced. A -39 approval on the issue isn’t just bad politics; it’s a reflection of how suspicious the stonewalling has become.",https://bsky.app/profile/
at://did:plc:km73zrouihe3xr6ibndscmcs/app.bsky.feed.post/3m5zyqrsw4s25,bafyreieyoxkbzbxgu2vxdapuwcg6dzpbuk5cdro54akbuyng4jhnmvrnsm,did:plc:km73zrouihe3xr6ibndscmcs,alexolivas.bsky.social,2025-11-20T05:07:46.599Z,I think there’s absolutely going to be evasion and stonewalling…and destruction of evidence?,https://bsky.app/profile/
at://did:plc:wsuqvhbbfpcew3m6beh6bgld/app.bsky.feed.post/3m5zxokks3k23,bafyreihgbvywsktwhw7ldwn34afaoadp3qtne3aj5vohkm53y6oq5e5fui,did:plc:wsuqvhbbfpcew3m6beh6bgld,bennelson.bsky.social,2025-11-20T04:48:38.143Z,"After years of scorched-earth union-busting and stonewalling tactics by their bosses, Starbucks workers are trying to get their union drive and contract negotiations unstuck through a nationwide strike. jacobin.com/2025/11/star...",https://bsky.app/profile/
at://did:plc:hf3tgiqwvu45ajugrei27fpx/app.bsky.feed.post/3m5zx3g7jb22h,bafyreic6obm4ur7oczuoohd7lf7jkmqwj2jyzfos6dinggu6kgyljgnvda,did:plc:hf3tgiqwvu45ajugrei27fpx,eddieperez.bsky.social,2025-11-20T04:37:56.043Z,"1/ Now that Trump has signed the bill to release ""the Epstein files,"" there's an impt question that goes beyond ""ok, here are the files.""

Is it possible that Trump partisans in the DOJ and/or FBI used these stonewalling months to delete or manipulate files?

And how would we know?

A thread 🧵 >>>",https://bsky.app/profile/
